Date,Open,High,Low,Close,Adj Close,Volume
2021-01-25,15594.809570,15895.879883,15534.250000,15710.190430,15710.190430,1883900
2021-01-26,15637.389648,15637.389648,15328.410156,15352.419922,15352.419922,1679300
2021-01-27,15328.870117,15446.820313,15107.040039,15413.839844,15413.839844,1606600
2021-01-28,15169.099609,15228.500000,14881.799805,14913.209961,14913.209961,1705800
2021-01-29,15039.889648,15096.250000,14609.639648,14821.990234,14821.990234,1712900
2021-02-01,14841.709961,15036.379883,14797.410156,15024.240234,15024.240234,1585900
2021-02-02,15057.440430,15341.480469,14981.330078,15335.660156,15335.660156,1609500
2021-02-03,15360.419922,15435.530273,15218.570313,15233.150391,15233.150391,1699600
2021-02-04,15135.849609,15285.879883,14908.759766,15105.940430,15105.940430,1667200
2021-02-05,15167.639648,15250.099609,14996.290039,15007.299805,15007.299805,1577200
2021-02-08,15066.459961,15299.650391,14945.839844,15269.629883,15269.629883,1377900
2021-02-09,15330.299805,15635.379883,15275.389648,15630.570313,15630.570313,1451900
2021-02-10,15702.200195,16010.400391,15632.139648,15962.250000,15962.250000,1411900
2021-02-18,16275.980469,16293.089844,15697.719727,15767.440430,15767.440430,1853300
2021-02-19,15660.490234,15840.160156,15443.240234,15823.110352,15823.110352,1869600
2021-02-22,15818.769531,15818.769531,15336.950195,15336.950195,15336.950195,2345500
2021-02-23,15174.719727,15411.030273,15146.889648,15243.250000,15243.250000,1938200
2021-02-24,15281.400391,15318.849609,14709.129883,14870.660156,14870.660156,1865700
2021-02-25,15016.629883,15036.419922,14794.730469,14828.799805,14828.799805,1684700
2021-02-26,14480.740234,14713.120117,14396.450195,14507.450195,14507.450195,1591000
2021-03-01,14670.110352,14864.580078,14614.009766,14857.339844,14857.339844,1529400
